Date,Region,Price
Jan-08,London,298596
Feb-08,London,295700
Mar-08,London,293605
Apr-08,London,294346
May-08,London,295163
Jun-08,London,290100
Jul-08,London,290261
Aug-08,London,281721
Sep-08,London,276487
Oct-08,London,266999
Nov-08,London,258647
Dec-08,London,253881
Jan-09,London,253093
Feb-09,London,249847
Mar-09,London,247264
Apr-09,London,245351
May-09,London,249991
Jun-09,London,253596
Jul-09,London,259793
Aug-09,London,262076
Sep-09,London,267501
Oct-09,London,268780
Nov-09,London,266837
Dec-09,London,270118
Jan-10,London,279724
Feb-10,London,278753
Mar-10,London,280472
Apr-10,London,281981
May-10,London,281762
Jun-10,London,284541
Jul-10,London,292772
Aug-10,London,290646
Sep-10,London,290093
Oct-10,London,286131
Nov-10,London,282290
Dec-10,London,285353
Jan-11,London,287983
Feb-11,London,285227
Mar-11,London,287092
Apr-11,London,293993
May-11,London,284722
Jun-11,London,285906
Jul-11,London,295843
Aug-11,London,294903
Sep-11,London,295358
Oct-11,London,292267
Nov-11,London,291036
Dec-11,London,292284
Jan-12,London,294360
Feb-12,London,292381
Mar-12,London,290379
Apr-12,London,299065
May-12,London,304081
Jun-12,London,306823
Jul-12,London,308962
Aug-12,London,310043
Sep-12,London,308469
Oct-12,London,310281
Nov-12,London,308540
Dec-12,London,313744
Jan-13,London,311364
Feb-13,London,313550
Mar-13,London,312289
Apr-13,London,320921
May-13,London,322324
Jun-13,London,324518
Jul-13,London,332988
Aug-13,London,335743
Sep-13,London,340494
Oct-13,London,340045
Nov-13,London,343749
Dec-13,London,352028
Jan-14,London,355830
Feb-14,London,357876
Mar-14,London,361400
Apr-14,London,375337
May-14,London,382705
Jun-14,London,387182
Jul-14,London,398737
Aug-14,London,404754
Sep-14,London,403670
Oct-14,London,402300
Nov-14,London,400803
Dec-14,London,402898
Jan-15,London,402847
Feb-15,London,404773
Mar-15,London,404706
Apr-15,London,410445
May-15,London,415817
Jun-15,London,419474
Jul-15,London,431644
Aug-15,London,436152
Sep-15,London,439729
Oct-15,London,440484
Nov-15,London,445485
Dec-15,London,450053
Jan-16,London,457466
Feb-16,London,457759
Mar-16,London,464647
Apr-16,London,461068
May-16,London,467485
Jun-16,London,468120
Jul-16,London,475530
Aug-16,London,471957
Sep-16,London,471767
Oct-16,London,471008
Nov-16,London,470854
Dec-16,London,472374
Jan-17,London,475619
Feb-17,London,476717
Mar-17,London,475442
Apr-17,London,479790
May-17,London,480902
Jun-17,London,480152
Jul-17,London,488527
Aug-17,London,487085
Sep-17,London,483833
Oct-17,London,481762
Nov-17,London,476290
Dec-17,London,476848
Jan-18,London,479772
Feb-18,London,477860
Mar-18,London,472357
Apr-18,London,477253
May-18,London,478485
Jun-18,London,479931
Jul-18,London,484724
Aug-18,London,479550
Sep-18,London,476545
Oct-18,London,480057
Nov-18,London,474347
Dec-18,London,473252
Jan-19,London,470067
Feb-19,London,466068
Mar-19,London,464162
Apr-19,London,469537
May-19,London,463628
Jun-19,London,470519
Jul-19,London,478505
Aug-19,London,472729
Sep-19,London,477146
Oct-19,London,472668
Nov-19,London,468757
Dec-19,London,479153
Jan-20,London,475948
Feb-20,London,474480
Mar-20,London,482605
Apr-20,London,476159
May-20,London,473225
Jun-20,London,479969
Jul-20,London,483830
Aug-20,London,489424
Sep-20,London,493205
Oct-20,London,486212
Nov-20,London,494552
Dec-20,London,494193
Jan-21,London,499115
Feb-21,London,490384
Mar-21,London,499862
Apr-21,London,491450
May-21,London,486387
Jun-21,London,505998
Jul-21,London,497949
Aug-21,London,510268
Sep-21,London,509148
Oct-21,London,507712
Nov-21,London,509970
Dec-21,London,510128
Jan-22,London,517529
Feb-22,London,519559
Mar-22,London,517909
Apr-22,London,523358
May-22,London,523323
Jun-22,London,532687
Jul-22,London,542180
Aug-22,London,546261
Sep-22,London,546672
Oct-22,London,541720
Jan-08,South East,235300
Feb-08,South East,231825
Mar-08,South East,232495
Apr-08,South East,230863
May-08,South East,232076
Jun-08,South East,229212
Jul-08,South East,227808
Aug-08,South East,220523
Sep-08,South East,215167
Oct-08,South East,209022
Nov-08,South East,203088
Dec-08,South East,200350
Jan-09,South East,194568
Feb-09,South East,191720
Mar-09,South East,191156
Apr-09,South East,193112
May-09,South East,196756
Jun-09,South East,199318
Jul-09,South East,202557
Aug-09,South East,206729
Sep-09,South East,209426
Oct-09,South East,210508
Nov-09,South East,212153
Dec-09,South East,211679
Jan-10,South East,217936
Feb-10,South East,217339
Mar-10,South East,216665
Apr-10,South East,218270
May-10,South East,220434
Jun-10,South East,222047
Jul-10,South East,224554
Aug-10,South East,224123
Sep-10,South East,224587
Oct-10,South East,221298
Nov-10,South East,219815
Dec-10,South East,218657
Jan-11,South East,216680
Feb-11,South East,217190
Mar-11,South East,215778
Apr-11,South East,218178
May-11,South East,218577
Jun-11,South East,219162
Jul-11,South East,222005
Aug-11,South East,220344
Sep-11,South East,221239
Oct-11,South East,218309
Nov-11,South East,219732
Dec-11,South East,219371
Jan-12,South East,217660
Feb-12,South East,218487
Mar-12,South East,219094
Apr-12,South East,223223
May-12,South East,223509
Jun-12,South East,224379
Jul-12,South East,226770
Aug-12,South East,227861
Sep-12,South East,228457
Oct-12,South East,224927
Nov-12,South East,224563
Dec-12,South East,225865
Jan-13,South East,225210
Feb-13,South East,223861
Mar-13,South East,225295
Apr-13,South East,227862
May-13,South East,228343
Jun-13,South East,230987
Jul-13,South East,233752
Aug-13,South East,234507
Sep-13,South East,235143
Oct-13,South East,235311
Nov-13,South East,237224
Dec-13,South East,238975
Jan-14,South East,240961
Feb-14,South East,241314
Mar-14,South East,243371
Apr-14,South East,247105
May-14,South East,251395
Jun-14,South East,253441
Jul-14,South East,257701
Aug-14,South East,261254
Sep-14,South East,263171
Oct-14,South East,263518
Nov-14,South East,262969
Dec-14,South East,264217
Jan-15,South East,264848
Feb-15,South East,264568
Mar-15,South East,265090
Apr-15,South East,268550
May-15,South East,271147
Jun-15,South East,275224
Jul-15,South East,279875
Aug-15,South East,283369
Sep-15,South East,284374
Oct-15,South East,286451
Nov-15,South East,288507
Dec-15,South East,291297
Jan-16,South East,293678
Feb-16,South East,295613
Mar-16,South East,300201
Apr-16,South East,297712
May-16,South East,301202
Jun-16,South East,305125
Jul-16,South East,309069
Aug-16,South East,309981
Sep-16,South East,307429
Oct-16,South East,307992
Nov-16,South East,307867
Dec-16,South East,309185
Jan-17,South East,312895
Feb-17,South East,310033
Mar-17,South East,310447
Apr-17,South East,313583
May-17,South East,315314
Jun-17,South East,318364
Jul-17,South East,321088
Aug-17,South East,323089
Sep-17,South East,322596
Oct-17,South East,322066
Nov-17,South East,320212
Dec-17,South East,320733
Jan-18,South East,320978
Feb-18,South East,321375
Mar-18,South East,319876
Apr-18,South East,321353
May-18,South East,321825
Jun-18,South East,324665
Jul-18,South East,327091
Aug-18,South East,328061
Sep-18,South East,327054
Oct-18,South East,324475
Nov-18,South East,323266
Dec-18,South East,321118
Jan-19,South East,322226
Feb-19,South East,320095
Mar-19,South East,317129
Apr-19,South East,318912
May-19,South East,318250
Jun-19,South East,320835
Jul-19,South East,322549
Aug-19,South East,322720
Sep-19,South East,323762
Oct-19,South East,322285
Nov-19,South East,322200
Dec-19,South East,321278
Jan-20,South East,321704
Feb-20,South East,318182
Mar-20,South East,323167
Apr-20,South East,325154
May-20,South East,320817
Jun-20,South East,322024
Jul-20,South East,325748
Aug-20,South East,329417
Sep-20,South East,331926
Oct-20,South East,332489
Nov-20,South East,336738
Dec-20,South East,337686
Jan-21,South East,340552
Feb-21,South East,339787
Mar-21,South East,344724
Apr-21,South East,342328
May-21,South East,342227
Jun-21,South East,358629
Jul-21,South East,344318
Aug-21,South East,354370
Sep-21,South East,365884
Oct-21,South East,361533
Nov-21,South East,365907
Dec-21,South East,367597
Jan-22,South East,375257
Feb-22,South East,375240
Mar-22,South East,379314
Apr-22,South East,380275
May-22,South East,384837
Jun-22,South East,389250
Jul-22,South East,396247
Aug-22,South East,402559
Sep-22,South East,404482
Oct-22,South East,404990
